day	key	parameter	level	prior	revenue	impressions	learning_rate	posterior	rev_imps	max_rev_imps	rev_imps_perc	site
2018-09-12	dd_bo_p5	fallbacks	0.4500	3.0000	7068666276	8257119.0000	4.5738	2.1456	856.0693	899.6798	0.9515	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.1500	3.0000	1020524	734.0000	1.0321	3.2916	1390.3597	1515.9664	0.9171	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.2000	5.0000	541200	357.0000	1.0321	8.4359	1515.9664	1515.9664	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.2500	12.0000	784598	610.0000	1.0321	8.8347	1286.2262	1515.9664	0.8485	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.3000	60.0000	5909278	4328.0000	1.0321	59.2024	1365.3600	1515.9664	0.9007	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.3500	12.0000	3611870	2644.0000	1.0321	12.0211	1366.0628	1515.9664	0.9011	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.4000	5.0000	2437709	1811.0000	1.0321	4.6597	1346.0569	1515.9664	0.8879	Home Stories A to Z
2018-09-12	dd_bo_p5	intercepts	0.4500	3.0000	1548861	1098.0000	1.0321	3.5546	1410.6202	1515.9664	0.9305	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.2000	3.0000	3295366	2378.0000	1.0321	3.3758	1385.7721	1385.7721	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.2500	5.0000	3753501	2758.0000	1.0321	5.1090	1360.9503	1385.7721	0.9821	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.3000	12.0000	2838078	2085.0000	1.0321	12.2058	1361.1885	1385.7721	0.9823	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.3500	60.0000	2406743	1771.0000	1.0321	58.2766	1358.9740	1385.7721	0.9807	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.4000	12.0000	1797404	1317.0000	1.0321	12.3177	1364.7715	1385.7721	0.9848	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.4500	5.0000	1762948	1273.0000	1.0321	5.5851	1384.8767	1385.7721	0.9994	Home Stories A to Z
2018-09-12	dd_bo_p5	slopes	1.5000	3.0000	0	0	1.0321	3.1301	0	1385.7721	0	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.1500	3.0000	8199538831	9551447.0000	4.5738	2.2010	858.4604	899.6798	0.9542	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.2000	5.0000	4981034741	5889230.0000	4.5738	3.1972	845.7871	899.6798	0.9401	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.2500	12.0000	5797489610	6790646.0000	4.5738	8.3711	853.7464	899.6798	0.9489	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.3000	60.0000	223159794911	248043570.0000	4.5738	66.0446	899.6798	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.3500	12.0000	52517212220	58374640.0000	4.5738	13.2063	899.6580	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.4000	5.0000	19190182197	21664036.0000	4.5738	4.8342	885.8083	899.6798	0.9846	Home Stories A to Z
2018-09-12	dd_bo_p6	fallbacks	0.4500	3.0000	7068666276	8257119.0000	4.5738	2.1456	856.0693	899.6798	0.9515	Home Stories A to Z
